species,family,seed mass,source
Acacia sophorae ,Fabaceae,18.2,"O'Dowd &Gill ""seed dispersal"" (ed - D. R. Murray)"
Acacia suaveolens ,Fabaceae,28.485,Westoby et al (1990) Ecology 71:1307-1315
Acacia suaveolens ,Fabaceae,28.9,"O'Dowd &Gill ""seed dispersal"" (ed - D. R. Murray)"
Acacia suaveolens ,Fabaceae,32.44,Moles and westoby seed pred paper (data from various sourcesƒ)
Acacia suaveolens ,Fabaceae,34.05,Moles and westoby seed pred paper - own data (ku-ring-gai diaspores)
Acacia terminalis ,Fabaceae,39.94,Moles and westoby seed pred paper (data from various sourcesƒ)
Acacia ulicifolia ,Fabaceae,11,"O'Dowd &Gill ""seed dispersal"" (ed - D. R. Murray)"
Acacia ulicifolia ,Fabaceae,14.37,Moles and westoby seed pred paper - own data (ku-ring-gai diaspores)
Angophora costata ,Myrtaceae,15.134,Westoby et al (1990) Ecology 71:1307-1315
Angophora costata ,Myrtaceae,17.857,"Turnbull, L. A., and J. C. Doran. 1987. Species of Eucalyptus responding to cold-moist stratification (3-58C). Pages Appendix 3C, 196. in P. J. Langkamp, editor. Germination of Australian Native Plant Seed. Inkata Press, Melbourne."
Aotus ericoides ,Fabaceae,3.579,Westoby et al (1990) Ecology 71:1307-1315
Banksia serrata ,Proteaceae,62.034,Westoby et al (1990) Ecology 71:1307-1315
Bossiaea heterophylla ,Fabaceae,12.59,Moles and westoby seed pred paper - own data (ku-ring-gai diaspores)
Bossiaea heterophylla ,Fabaceae,15.461,Westoby et al (1990) Ecology 71:1307-1315
Brachyloma daphnoides ,Ericaceae,2.862,Westoby et al (1990) Ecology 71:1307-1315
Correa reflexa ,Rutaceae,10.29,Westoby et al (1990) Ecology 71:1307-1315
Dillwynia retorta ,Fabaceae,5.167,Moles and westoby seed pred paper - own data (Ku-ring-gai seeds)
Dillwynia retorta ,Fabaceae,5.501,Westoby et al (1990) Ecology 71:1307-1315
Dillwynia retorta  var. retorta,Fabaceae,5.98,Moles and westoby seed pred paper (data from various sourcesƒ)
Epacris pulchella ,Ericaceae,0.06,Westoby et al (1990) Ecology 71:1307-1315
Eriostemon australasius ,Rutaceae,20.244,Westoby et al (1990) Ecology 71:1307-1315
Gompholobium latifolium ,Fabaceae,4.42,Moles and westoby seed pred paper (data from various sourcesƒ)
Gonocarpus teucrioides ,Haloragaceae,1.123,Westoby et al (1990) Ecology 71:1307-1315
Leucopogon lanceolatus ,Ericaceae,3.218,Westoby et al (1990) Ecology 71:1307-1315
Monotoca elliptica ,Epacridaceae,25.16,Moles and westoby seed pred paper - own data (kosciuszko diaspores)
Monotoca scoparia ,Epacridaceae,1.51,Westoby et al (1990) Ecology 71:1307-1315
Persoonia lanceolata ,Proteaceae,102.328,Westoby et al (1990) Ecology 71:1307-1315
Persoonia levis ,Proteaceae,225.925,Westoby et al (1990) Ecology 71:1307-1315
Pimelea linifolia ,Thymelaeaceae,2.788,Westoby et al (1990) Ecology 71:1307-1315
Pomax umbellata ,Rubiaceae,1.07,Westoby et al (1990) Ecology 71:1307-1315
Ricinocarpos pinifolius ,Euphorbiaceae,48.245,Westoby et al (1990) Ecology 71:1307-1315
